OrigName,Date.x,year,Site.Type.x,Long.x,Lat.x,OpenWater,DevelopedOpenSpace,Barren,GrasslandPasture,forest,developed,nonforestnatural,Crops,gdd,nest,pest,flsp,flsum,HBD,april,may,june,BQCV,DWV,Nosema,Crithidia,sumprecip,elevation,minutes.x,Bimaculatus.per.min.x,fervidus..per.min.x,flavidus.per.min.x,Griseocollis.per.min.x,Impatience.per.min.x,perplexus.per.min.x,sandersoni.per.min.x,tericola..per.min.x,ternarius.per.min.x,vagans.per.min.x,toto.bees.per.min.x,Bombus20_shannon_diversity.y,Bimaculatus,Fervidous,Flavidus,Griseocollis,Impatiens,Perplexus,Sandersonii,Tericola,Ternarius,Vagans,Grand.Total,bimaculatus.y,fervidus,flavidus,Griseocollis.1.y,Impatience,perplexus,sandersoni,tericola,ternarius,vagans
Altoona Graveyard,7/8/2020,2020,valley,40.52285,-78.40129,0,14,0,0,0,86,0,0,18.8579998,0.349608774,239.5283408,0.514474217,0.537248705,0.356748666,128.3389755,52.36406717,67.75507095,NA,NA,NA,NA,248.4581136,400.35458,71,0.183098592,0,0,0.042253521,0.042253521,0.070422535,0.014084507,0,0,0,0.352112676,1.265001375,13,0,0,3,3,5,1,0,0,0,25,0.52,0,0,0.12,0.12,0.2,0.04,0,0,0
Bald Eagle timber harvest,7/3/2020,2020,forest,41.07705,-76.94622,0,17,0,1,78,1,0,2,20.42300034,0.614796366,5145.239836,0.607059437,0.501323413,0.142888352,80.9508446,145.460129,87.94846044,8.671499,0,0.2797547,14.77825933,314.3594341,218.15282,44,0.25,0,0,0.045454545,0.25,0,0,0,0,0.022727273,0.568181818,0.655975732,11,0,0,2,11,0,0,0,0,1,25,0.44,0,0,0.08,0.44,0,0,0,0,0.04
Bald Eagle timber harvest,7/3/2020,2020,forest,41.07705,-76.94622,0,17,0,1,78,1,0,2,20.42300034,0.614796366,5145.239836,0.607059437,0.501323413,0.142888352,80.9508446,145.460129,87.94846044,6.871627667,3.748087333,2.713078333,14.99993267,314.3594341,218.15282,44,0.25,0,0,0.045454545,0.25,0,0,0,0,0.022727273,0.568181818,0.655975732,11,0,0,2,11,0,0,0,0,1,25,0.44,0,0,0.08,0.44,0,0,0,0,0.04
Bald Eagle timber harvest,7/3/2020,2020,forest,41.07705,-76.94622,0,17,0,1,78,1,0,2,20.42300034,0.614796366,5145.239836,0.607059437,0.501323413,0.142888352,80.9508446,145.460129,87.94846044,5.092574,0.480244,0.8653925,14.31666767,314.3594341,218.15282,44,0.25,0,0,0.045454545,0.25,0,0,0,0,0.022727273,0.568181818,0.655975732,11,0,0,2,11,0,0,0,0,1,25,0.44,0,0,0.08,0.44,0,0,0,0,0.04
Bear Meadows,6/23/2020,2020,forest,40.733045,-77.755017,0,8,0,0,88,0,4,0,19.10700035,0.665454143,11.59908253,0.635084691,0.503821851,0,112.8729766,108.0452239,117.1474778,5.563406,0,1.270557333,13.822321,338.0656783,559.01813,60,0.183333333,0,0,0,0.133333333,0,0.1,0,0,0.033333333,0.45,0.974314753,11,0,0,0,8,0,6,0,0,2,27,0.407407407,0,0,0,0.296296296,0,0.222222222,0,0,0.074074074
Bear Meadows,6/23/2020,2020,forest,40.733045,-77.755017,0,8,0,0,88,0,4,0,19.10700035,0.665454143,11.59908253,0.635084691,0.503821851,0,112.8729766,108.0452239,117.1474778,3.980689667,0,0.8150795,13.385489,338.0656783,559.01813,60,0.183333333,0,0,0,0.133333333,0,0.1,0,0,0.033333333,0.45,0.974314753,11,0,0,0,8,0,6,0,0,2,27,0.407407407,0,0,0,0.296296296,0,0.222222222,0,0,0.074074074
Belleville library,7/6/2020,2020,valley,40.61014,-77.72288,0,16,0,1,0,23,0,59,21.18700027,0.266633802,48780.78061,0.331153942,0.43800061,0.509295821,114.9973682,105.4795831,103.3074536,8.451606333,0,2.431039033,9.908695,323.784405,260.84277,64,0.09375,0,0,0.15625,0.125,0,0,0,0,0,0.375,0.686961577,6,0,0,10,8,0,0,0,0,0,24,0.25,0,0,0.416666667,0.333333333,0,0,0,0,0
Belleville library,7/6/2020,2020,valley,40.61014,-77.72288,0,16,0,1,0,23,0,59,21.18700027,0.266633802,48780.78061,0.331153942,0.43800061,0.509295821,114.9973682,105.4795831,103.3074536,7.552581,0,3.098055833,0,323.784405,260.84277,64,0.09375,0,0,0.15625,0.125,0,0,0,0,0,0.375,0.686961577,6,0,0,10,8,0,0,0,0,0,24,0.25,0,0,0.416666667,0.333333333,0,0,0,0,0
Brush Mountain woodlands,6/28/2020,2020,forest,40.48098,-78.36811,0,0,0,0,100,0,0,0,18.64999962,0.54950232,708.5405505,0.606627565,0.527149395,0.138888686,122.0477527,49.7573513,76.54986904,10.854459,0.928622333,2.105766,0,248.3549731,586.1778,63,0.158730159,0,0,0,0.111111111,0.031746032,0.095238095,0,0,0,0.396825397,0.990835386,10,0,0,0,7,2,6,0,0,0,25,0.4,0,0,0,0.28,0.08,0.24,0,0,0
Brush Mountain woodlands,6/28/2020,2020,forest,40.48098,-78.36811,0,0,0,0,100,0,0,0,18.64999962,0.54950232,708.5405505,0.606627565,0.527149395,0.138888686,122.0477527,49.7573513,76.54986904,0.999518,2.034894667,1.5612675,0,248.3549731,586.1778,63,0.158730159,0,0,0,0.111111111,0.031746032,0.095238095,0,0,0,0.396825397,0.990835386,10,0,0,0,7,2,6,0,0,0,25,0.4,0,0,0,0.28,0.08,0.24,0,0,0
